"BANK","TX  ","OLDBK","DESC                                ","BADDR                           ","B2ADDR                          ","BCITYST                         ","CONTACT                       ","PHONE           " 
"466","101 ","    ","GUARANTY BANK                       ","4000 WEST BROWN DEER RD         ","                                ","BROWN DEER  WI 53209            ","LASONIA VIRGIL                ","414-362-4533    " 
"467","102 ","    ","POLISH NATIONAL CU                  ","46 MAIN STREET                  ","PO BOX 327                      ","CHICOPEE  MA  01021             ","DANIELLE DUBBERLY             ","817-635-8309    " 
"468","101 ","    ","PENNYMAC                            ","6101 CONDOR DR                  ","                                ","MOORPARK  CA  93021             ","                              ","555-555-5555    " 
"469","    ","    ","THE WASHINGTON TRUST CO             ","23 BROAD STREET                 ","SECONDARY MARKET DEPT           ","WESTERLY  RI   02891            ","CINDY GARDNER                 ","401-348-1298    " 
"470","102 ","    ","IBM LENDER BUSINESS PROCESS SERV    ","                                ","                                ","                                ","                              ","                " 
"471","101 ","    ","BERKSHIRE BANK                      ","66 WEST STREET                  ","                                ","PITTSFIELD  MA  01201           ","DIANE CIEMNIEWSKI             ","413-447-1702    " 
"472","101 ","    ","HSBC - CONSUMER                     ","1 CORELOGIC DRIVE               ","                                ","WESTLAKE TX  76262              ","                              ","817-699-2704    " 
"473","101 ","    ","ROUNDPOINT MORTG SERV               ","5032 PARKWAY PLAZA              ","B-8 STE 200                     ","CHARLOTTE NC  28217             ","ANDREW KNOWLES                ","704-426-8823    " 
"474","101 ","    ","AMERICAN BANK                       ","9001 EDMONSTON ROAD             ","                                ","GREENBELT  MA  20770            ","JOE BONACCORSY                ","301-315-6517    " 
"475","101 ","    ","US BANK                             ","555 SW OAK STREET               ","PL#7                            ","PORTLAND  OR 97228              ","SHARON HARRISON               ","503-275-8190    " 
"476","    ","    ","FIRST EASTERN MORTGAGE CORP         ","100 BRICKSTONE SQUARE           ","                                ","ANDOVER  MA  01810              ","KAREN BOHNE                   ","978-749-3100    " 
"477","    ","    ","COMMERICAL BANK                     ","PO BOX 400                      ","                                ","HARROGATE  TN  37752            ","KATHY EDENS                   ","423-869-5152    " 
"478","101 ","    ","US BANK HOME MORTGAGE               ","4801 FREDERICA STREET           ","ATTN: TAX DEPARTMENT            ","OWENSBORO  KY  42301            ","                              ","                " 
"479","101 ","    ","QUICKEN LOANS                       ","1050 WOODWARD AVE               ","                                ","DETROIT  MI  48226              ","KIMBERLY BAKER                ","313-373-4915    " 
"480","101 ","    ","GR 879 NORCOM MTG                   ","142 NORTH ROAD                  ","SUITE G                         ","SUDBURY  MA  01776              ","                              ","978-371-0500    " 
"481","102 ","    ","GREEN PLANET SERVICING              ","10 RESEARCH PARKWAY             ","SUITE 2                         ","WALLINGFORD CT 06492            ","STEPHANIE LEWANDOSKI          ","203-265-5090    " 
"482","101 ","    ","PRESIDENTIAL BANK                   ","4520 EAST-WEST HIGHWAY          ","                                ","BETHESDA  MD  20814             ","PAM  X2222                    ","301-652-1616    " 
"483","    ","    ","ING MORTGAGE                        ","                                ","PO BOX 30                       ","ST CLOUD  MN  56302             ","                              ","888-464-4355    " 
"484","101 ","    ","BANK NEWPORT                        ","500 WEST MAIN ROAD              ","                                ","MIDDLETOWN  RI 02842            ","PAT OAKLEY X8774              ","401-845-8774    " 
"485","101 ","    ","KEY BANK                            ","PO BOX 514                      ","6950 S TRANSIT ROAD             ","LOCKPORT  NY 14095              ","GAINN PALACHUVATTIL           ","877-932-3422    " 
"486","101 ","    ","KEY BANK (FNA: FIRST NIAGRA)        ","239 VAN RENSSELAER              ","                                ","BUFFALO  NY  14210              ","RACHEL JOHNSON                ","716-849-8123    " 
"487","    ","    ","UKRAINIAN FED CRED UNION            ","824 RIDGE ROAD EAST             ","                                ","ROCHESTER  NY 14621             ","MARY WITTERS                  ","585-544-9518    " 
"488","101 ","    ","MMS MORTGAGE SERVICE LTD            ","38275 12 MILE RD                ","STE 100                         ","FARMINGTON  MI 48331            ","KAREN NAYH                    ","800-945-4506    " 
"489","101 ","    ","SPECIALIZED LOAN SERVICING          ","1 CORELOGIC DR                  ","DFW 5-4                         ","WESTLAKE  TX 76262              ","ARTURO AVILA                  ","817-699-2824    " 
"490","101 ","    ","MIDLAND MORTGAGE                    ","11001 N ROCKWELL AVE            ","                                ","OKLAHOMA CITY  OK 73162         ","                              ","                " 
"491","    ","    ","FIRST NATIONAL BANK OF AMERICA      ","PO BOX 980                      ","                                ","EAST LANSING  MI 48826-4488     ","                              ","517-336-8428    " 
"492","101 ","    ","AVIDIA BANK                         ","42 MAIN ST                      ","                                ","HUDSON  MA  01749               ","JANICE KELLEY                 ","978-562-2222    " 
"493","102 ","    ","SETERUS                             ","                                ","                                ","                                ","LERETA                        ","888-534-5283    " 
"494","101 ","    ","E*TRADE SERVICING CENTER            ","1 CORELOGIC WAY                 ","                                ","WESTLAKE,  TX 76262             ","DEB RANKIN                    ","817-699-3246    " 
"495","101 ","    ","USAA FEDERAL SAVINGS BANK           ","1 CORELOGIC WAY                 ","                                ","WESTLAKE  TX  76262             ","8176992886                    ","                " 
"496","0   ","    ","UNITED BANK & TRUST                 ","209 E RUSSELL ROAD              ","LOAN SERV DEPT                  ","TECUMSEH  MI  49286             ","COURTNEY FISCHER              ","517-423-1574    " 
"497","    ","    ","QBE FIRST                           ","C/O GREEN TREE SERVICING        ","PO BOX 672887                   ","MARIETTA  GA  30006             ","                              ","866-575-7431    " 
"498","101 ","    ","BETHPAGE FEDERAL CREDIT UNION       ","899 SOUTH OYSTER BAY RD         ","                                ","BETHPAGE  NY  11714             ","JOANNE HABIB                  ","800-628-7070    " 
"499","101 ","    ","SELENE FINANCE LLC                  ","1 CORELOGIC DRIVE               ","                                ","WESTLAKE  TX  76262             ","                              ","                " 
"500","101 ","    ","SHELLPOINT MORTGAGE SERV-(RESURG CAP","15 SOUTH MAIN ST, STE 60        ","                                ","GREENVILLE  SC  29601           ","AARON BROOKS                  ","864-248-8726    " 
"501","102 ","    ","GREEN TREE SERVICING LLC            ","                                ","                                ","                                ","                              ","                " 
"502","102 ","    ","COLONIAL SAVINGS                    ","PO BOX 2988  (DEPT 57)          ","                                ","FORT WORTH  TX 76113            ","DOMINIQUE CLAYTON             ","(800) 937-6001 E" 
"503","101 ","    ","COMMERCE BANK & TRUST CO            ","386 MAIN ST                     ","PO BOX 15020                    ","WORCESTER  MA  01608            ","LISA DOMBROWSKI               ","508-797-6895    " 
"504","101 ","    ","COUNTRY BANK FOR SAVINGS            ","15 SOUTH STREET                 ","                                ","WARE  MA  01082                 ","BARBARA NEWTON                ","413-967-6221    " 
"505","101 ","    ","DITECH-OUTSOURCING                  ","FKA: GREEN TREE OUTSOURCING     ","1 CORELOGIC DR                  ","WESTLAKE  TX  76262             ","MIKE MCKINNEY FKA: GREENTREE  ","817-699-3016    " 
"506","101 ","    ","SCHMIDT MORTGAGE COMPANY            ","20545 CENTER RIDGE ROAD         ","                                ","ROCKY RIVER  OH  44116          ","BRUCE LIMPERT                 ","440-356-3242    " 
"507","102 ","    ","RUSHMORE LOAN MANAGEMENT SERV LLC   ","                                ","                                ","                                ","LERETA                        ","888-534-5283    " 
"508","102 ","    ","THIRD FEDERAL SAVINGS AND LOAN      ","                                ","                                ","                                ","LERETA                        ","1-888-534-5283  " 
"509","102 ","    ","CAPITAL MORTGAGE SERVICES OF TEXAS  ","                                ","                                ","                                ","LERETA                        ","1-888-534-5283  " 
"510","102 ","    ","ENVOY MORTGAGE                      ","                                ","                                ","                                ","                              ","                " 
"511","101 ","    ","MB FINANCIAL BANK                   ","FKA: COLE TAYLOR                ","1 CORELOGIC DRIVE               ","WESTLAKE  TX  76262             ","DEB RANKIN                    ","817-699-3246    " 
"512","101 ","    ","CUSTOMERS BANK                      ","                                ","                                ","                                ","                              ","                " 
"513","101 ","    ","LENDERLIVE NETWORK, INC             ","                                ","                                ","                                ","                              ","                " 
"514","101 ","    ","HAMPDEN BANK                        ","                                ","                                ","                                ","                              ","                " 
"515","101 ","    ","NASA FEDERAL CREDIT UNION           ","                                ","                                ","                                ","                              ","                " 
"516","101 ","    ","PACIFIC UNION FINANCIAL             ","                                ","                                ","                                ","                              ","                " 
"517","102 ","    ","BOGMAN INC.                         ","                                ","                                ","                                ","                              ","                " 
"518","101 ","    ","NORCOM MORTGAGE                     ","38 SECURITY DRIVE               ","                                ","AVON CT 06001                   ","MELISSA ROSARIO               ","                " 
"519","101 ","    ","BOK MORTGAGE                        ","7060 SOUTH YALE                 ","2ND FLOOR                       ","TULSA  OK  74136                ","TERRY MARVIN                  ","                " 
"520","101 ","    ","MADISON CREDIT MNGMT SERVICES       ","                                ","                                ","                                ","                              ","                " 
"521","101 ","    ","HOME POINT FINANCIAL CORP           ","95 METHODIST HILL DR            ","STE 100                         ","ROCHESTER  NY  14623            ","CASEY BEELEY                  ","585-321-6809    " 
"522","102 ","    ","UNITED NATIONS FCU                  ","                                ","                                ","                                ","                              ","                " 
"523","101 ","    ","CARRINGTON MORTGAGE SERVICES        ","                                ","                                ","                                ","                              ","                " 
"524","102 ","    ","SENECA MORTGAGE SERVICING           ","                                ","                                ","                                ","                              ","                " 
"525","101 ","    ","PLANET HOME LENDING                 ","95 METHODIST HILL DR            ","                                ","ROCHESTER NY 14623              ","LOUANN REAMER                 ","585-321-6910    " 
"526","102 ","    ","BANK OF INTERNET, USA               ","                                ","                                ","                                ","                              ","                " 
"527","101 ","    ","THE MONEY SOURCE                    ","                                ","                                ","                                ","                              ","                " 
"528","102 ","    ","OLD NATIONAL BANK                   ","                                ","                                ","                                ","                              ","                " 
"529","101 ","    ","CIS FINANCIAL                       ","851 NORTH MILITARY ST           ","                                ","HAMILTON  AL 35570              ","REGINA STANFORD               ","844-272-2637    " 
"530","101 ","    ","SUN WEST MORTGAGE                   ","18000 STUDEBAKE ROAD            ","STE 200                         ","CERRITOS  CA 90703              ","ADELA CHAVEZ                  ","562-924-7884    " 
"531","102 ","    ","FAY SERVICING LLC                   ","                                ","                                ","                                ","                              ","                " 
"532","101 ","    ","FINANCIAL FREEDOM ACQUISITION LLC   ","                                ","                                ","                                ","                              ","                " 
"533","102 ","    ","NEW AMERICAN FUNDING                ","                                ","                                ","                                ","                              ","                " 
"534","101 ","    ","SUTHERLAND GLOBAL SERVICES          ","                                ","                                ","                                ","                              ","                " 
"535","101 ","    ","SUNTRUST MORTGAGE                   ","                                ","                                ","                                ","                              ","                " 
"536","    ","    ","NORTH AMERICAN SAVINGS BANK         ","12520 S 71 HIGHWAY              ","                                ","GRANDVIEW  MO 64030             ","SHARON SZYMANSKI EXT4093      ","800-677-6272    " 
"537","101 ","    ","MR. COOPER                          ","3001 HACKBERRY DR               ","                                ","IRVING TX 75063                 ","                              ","                " 
"538","101 ","    ","LEADER BANK                         ","                                ","                                ","                                ","                              ","                " 
"539","101 ","    ","GUILD MORTGAGE                      ","                                ","                                ","                                ","                              ","                " 
"540","102 ","    ","PATRIOT NATIONAL BANK               ","                                ","                                ","                                ","                              ","                " 
"541","    ","    ","21ST MORTGAGE CORPORATION           ","PO BOX 477                      ","                                ","KNOXVILLE  TN  37901            ","800-955-0021  EXT 1656 CASSIE ","865-292-2120    " 
"542","102 ","    ","VELOCITY COMMERCIAL CAPITAL         ","                                ","                                ","                                ","                              ","                " 
"543","102 ","    ","IDAHO HOUSING & FINANCE ASSOC       ","                                ","                                ","                                ","                              ","                " 
"544","101 ","    ","ANNIEMAC                            ","                                ","                                ","                                ","                              ","                " 
"545","102 ","    ","WESTFIELD BANK                      ","                                ","                                ","                                ","                              ","                " 
"546","101 ","    ","REVERSE MORTGAGE SOLUTIONS          ","                                ","                                ","                                ","                              ","                " 
"547","102 ","    ","CHARTER OAK FEDERAL CREDIT UNION    ","                                ","                                ","                                ","                              ","                " 
"548","101 ","    ","VANDERBILT MORTGAGE & FINANCE       ","                                ","                                ","                                ","                              ","                " 
"549","102 ","    ","HOMEBRIDGE FINANCIAL SERVICES       ","                                ","                                ","                                ","                              ","                " 
"550","102 ","    ","CELINK                              ","                                ","                                ","                                ","                              ","                " 
"551","101 ","    ","INVESTORS BANK                      ","101 WOOD AVE SOUTH              ","ATTN: CARMEN ATALAYA            ","ISELIN  NJ  08830               ","                              ","732-452-7672    " 
"552","101 ","    ","PRIMARY RESIDENTIAL MORTGAGE        ","1725 S BERRY KNOLL BLVD         ","ATTN: REBECCA TIMPSON           ","COLORADO CITY  AZ 86021         ","                              ","800-748-4424    " 
"553","102 ","    ","EASTHAMPTON SAVINGS BANK            ","                                ","                                ","                                ","                              ","                " 
"554","    ","    ","NORTHPOINTE BANK                    ","3333 DEPOSIT DRIVE NE           ","                                ","GRAND RAPIDS  MI                ","                              ","                " 
"555","102 ","    ","NATIONSTAR                          ","                                ","                                ","                                ","                              ","                " 
"556","101 ","    ","GATEWAY MORTGAGE                    ","                                ","                                ","                                ","                              ","                " 
"557","    ","    ","AMERICA'S FIRST NETWORK CREDIT UNION","50 COMMERCE DRIVE               ","                                ","TRUMBULL CT 06611               ","SHERYL AHBORN                 ","203-381-3800    " 
"558","    ","    ","WASHINGTON TRUST COMPANY            ","ATTN: LOAN SUPPORT              ","PO BOX 512                      ","WESTERLY RI 02891               ","LOAN SUPPORT (option 1)       ","401-348-1336    " 
"559","101 ","    ","ENVISION BANK                       ","                                ","                                ","                                ","                              ","                " 
"560","    ","    ","CAPITAL REAL ESTATE TAX SERVICE     ","1300 COMBERMERE DRIVE           ","                                ","TROY MI 48083                   ","NICOLE                        ","800-335-3635    " 
"600","    ","    ","ACAR LEASING LTD                    ","PO BOX 1990                     ","                                ","FORT WORTH TX 76101             ","RUSSELL.STRONG@GMFINANCIAL.COM","817-302-7569    " 
"601","    ","    ","CAB EAST LLC                        ","PO BOX 105704                   ","                                ","ATLANTA GA 30348                ","Cathy.Frick@us.gt.com         ","                " 
"605","1   ","    ","ARI FLEET                           ","4001 LEADENHALL RD              ","                                ","MOUNT LAUREL NJ 08054-4611      ","                              ","                " 
"610","1   ","    ","CAB EAST LLC                        ","PO BOX 105704                   ","C/O STA PROPERTY TAX            ","ATLANTA GA 30348-5704           ","                              ","                " 
"615","1   ","    ","CCAP AUTO LEASE LTD                 ","1601 ELM ST #800                ","                                ","DALLAS TX 75201                 ","                              ","                " 
"620","1   ","    ","DAIMLER TRUST                       ","PO BOX 685                      ","                                ","ROANOKE TX 76262-0685           ","                              ","                " 
"625","    ","    ","DONLEN TRUST                        ","3000 LAKESIDE DR 2ND FLOOR      ","                                ","BANNOCKBURN IL 60015-1229       ","                              ","                " 
"630","1   ","    ","EAN HOLDINGS                        ","8 ELLA GRASSO TNPK              ","C/O B HOKANSON-ENTERPRISE       ","WINDSOR LOCKS CT 06096-1015     ","WILLIAM HOKANSON              ","                " 
"635","    ","    ","EMKAY INC TRUST                     ","805 W THORNDALE AVE             ","                                ","ITASCA IL 60143-1338            ","                              ","                " 
"640","    ","    ","FINANCIAL SERVICE VEHICLE TRUST     ","5550 BRITTON PKWY               ","                                ","HILLIARD OH 43026-7456          ","                              ","                " 
"645","    ","    ","GELCO CORPORATION/GELCO FLEET TR    ","3 CAPITOL DR                    ","                                ","EDEN PRAIRIE, MN 55344-3890     ","                              ","                " 
"650","1   ","    ","HONDA LEASE & TRUST                 ","600 KELLY WAY                   ","                                ","HOLYOKE MA 01040-9681           ","TYLER_KATAYAMA@AHM.HONDA.COM  ","310-972-2255    " 
"655","1   ","    ","HYUNDAI LEASE TITLING TRUST         ","PO BOX 24810                    ","                                ","NASHVILLE TN 37202              ","                              ","                " 
"660","1   ","    ","JP MORGAN CHASE/CHASE AUTO FIN      ","1111 POLARIS PKWY STE A3        ","PROPERTY TAX UNIT               ","COLUMBUS OH 43240-2031          ","                              ","                " 
"665","    ","    ","LEASE PLAN USA INC                  ","1165 SANCTUARY PKWY             ","                                ","ALPHARETTA GA 30009-4738        ","                              ","                " 
"670","1   ","    ","NISSAN INFINITI LT                  ","PO BOX 650214                   ","                                ","DALLAS TX 75265-0214            ","CHERYL CARR                   ","                " 
"675","    ","    ","PETERSON DL TRUST/DL PETERSON       ","940 RIDGEBROOK RD               ","                                ","SPARKS MD 21152-9390            ","                              ","                " 
"680","1   ","    ","PORSCHE LEASING LTD                 ","1 PORSCHE DRIVE                 ","                                ","ATLANTA GA 30354                ","                              ","                " 
"684","    ","    ","TESLA LEASE TRUST                   ","3500 DEER CREEK ROAD            ","                                ","PALO ALTO, CA 94304-1317        ","                              ","                " 
"685","1   ","    ","TOYOTA MOTOR CREDIT/ LEASE TRUST    ","PO BOX 23590                    ","                                ","NASHVILLE TN 37202              ","JORDAN MILLER (RYAN)          ","                " 
"690","    ","    ","USB LEASING LT/US BANK              ","1850 OSBORN AVE                 ","                                ","OSHKOSH, WI 54902-6197          ","                              ","                " 
"695","1   ","    ","VAULT TRUST C/O ALLY FINANCIAL      ","PO BOX 23950                    ","C/O RYAN                        ","NASHVILLE TN 37202-9913         ","                              ","                " 
"700","    ","    ","VCFS AUTO LEASING CO                ","6150 OMNI PARK DRIVE            ","                                ","MOBILE AL 36609-5195            ","                              ","                " 
"705","    ","    ","VW CREDIT LEASING LTD               ","1401 FRANKLIN BLVD              ","                                ","LIBERTYVILLE IL 60048-4460      ","                              ","                " 
"710","    ","    ","WHEELS LT                           ","666 GARLAND PL                  ","                                ","DES PLAINS, IL 60016-4725       ","                              ","847-371-4440    " 
"715","    ","    ","SPECIALTY TRANSPORTATION            ","                                ","                                ","                                ","ELAINET@SPECIALTYBUSCO.COM    ","                " 
