SERVICE ADDRESS,BILLING NAME,SWR ACCT,ACCT#,SEQ#,AWPCA REF,SHED,SEQ #,IRRIG,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,GALLONS,EDU,Bill
0Riverdale Farms IR #6,136 Simsbury Rd - IRR,3970124,,,N,SIMS,,,,,36000,,,31000,,,45000,,,0,"112,000",1.46,876
0Brownbear And Owl Holistic LLC,136 Simsbury Rd (2A),3970124,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
0Riverdale Farms,136 Simsbury Rd (2A),3970124,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
0Riverdale Farms (bld 5A),136 Simsbury Rd (bldg,3970124,,,,SIMS,,,,,0,,,1000,,,0,,,1000,"2,000",0.03,18
0Elizabeth Nicole Wake Studio,136 Simsbury Rd (bldg,3970124,,,,SIMS,,,,,2000,,,0,,,0,,,0,"2,000",0.03,18
0Creative Development LLC,136 Simsbury Rd 5B,3970124,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
0Riverdale Farms,136 Simsbury Rd 5B,3970124,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
0Body Over Bike,136 Simsbury Rd Bld 16,3970124,,,,SIMS,,,,,0,,,2000,,,2000,,,0,"4,000",0.05,30
0Riverdale Farms (bld 14 Apt.),136 Simsbury Rd Bldg 1,3970124,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
0Riverdale Farms,136 Simsbury Rd Bldg 1,3970124,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
0Riverdale Farms,136 Simsbury Rd Bldg 1,3970124,,,,SIMS,,,,,11000,,,18000,,,14000,,,14000,"57,000",0.74,444
0Riverdale Farms (Bakery),136 Simsbury Rd Bldg 1,3970124,,,,SIMS,,,,,19000,,,18000,,,15000,,,12000,"64,000",0.83,498
0Riverdale Farms,136 Simsbury Rd Bldg 4,3970124,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
0Riverdale Farms (bld 5A),136 Simsbury Rd Ste 2B,3970124,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
0Avon Country Deli LLC,136 Simsbury Rd,3970124,,,,SIMS,,,,,0,,,46000,,,36000,,,20000,"102,000",1.33,798
0Raimie H Weber LLC,136 Simsbury Rd,3970124,,,,SIMS,,,,,0,,,0,,,1000,,,0,"1,000",0.01,6
0Bounom Limited Liability Co,136 Simsbury Rd bldg 1,3970124,,,,SIMS,,,,,11000,,,13000,,,13000,,,9000,"46,000",0.6,360
0Simply Eventful LLC,136 Simsbury Rd  Hairl,3970124,,,,SIMS,,,,,73000,,,26000,,,43000,,,5000,"147,000",1.92,1152
0Raimie H Weber LLC,136 Simsbury Rd,3970124,,,,SIMS,,,,,0,,,0,,,1000,,,0,"1,000",0.01,6
0Be.Yoga In Avon LLC,136 Simsbury Rd Bldg 4,3970124,,,,SIMS,,,,,0,,,0,,,1000,,,0,"1,000",0.01,6
RIVERDALE FARMS (BLD 14 APT.),136 SIMSBURY RD,3970124,3970124,85,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
0JKY LLC,2 SIMSBURY RD,3970002,3970002,86,,SIMS,,,,,8000,,,8000,,,7000,,,8000,"31,000",0.4,240
"0AD1 Avon Hotels, LLC",55 Simsbury Rd,3970055,,,,SIMS,,,,,10000,,,17000,,,15000,,,12000,"54,000",0.7,420
"0AD1 Avon Hotels, LLC",55 Simsbury Rd - Prima,3970055,3970055,87,,SIMS,,,,,0,,,0,,,0,,,2525000,"2,525,000",32.94,19764
0ENE Realty Assoc,10 Tower Lane The Offi,4370010,4370010,88,,SIMS,,,,,44000,,,69000,,,35000,,,19000,"167,000",2.18,1308
"0ENE Realty Assoc., Llc",20 Tower Lane CGFM Tow,4370020,4370020,89,,SIMS,,,,,31000,,,89000,,,53000,,,21000,"194,000",2.53,1518
0ENE Realty Assoc LLC,30 Tower Lane The Offi,4370030,4370030,90,,SIMS,,,,,9000,,,23000,,,49000,,,19000,"100,000",1.3,780
"040 Tower Lane, LLC",40 Tower Lane Prim,4370040,4370040,91,,SIMS,,,,,29000,,,104000,,,51000,,,12000,"196,000",2.56,1536
"050 Tower, LLC",50 Tower Lane,4370050,4370050,92,,SIMS,,,,,12000,,,70000,,,23000,,,17000,"122,000",1.59,954
"SECURE FINANCIAL PROPERTIES, LLC",7 TOWPATH LANE,4380007,4380007,93,,SIMS,,,,,4000,,,6000,,,6000,,,5000,"21,000",0.27,162
BOARD OF ED.(5/6 SCHOOL),150 THOMPSON RD,4320150,,,,SIMS,,,,,114000,,,67000,,,62000,,,43000,"286,000",3.73,2238
BOARD OF ED.(5/6 SCHOOL),150 THOMPSON RD,4320150,4320150,94,,SIMS,,,,,141000,,,72000,,,82000,,,59000,"354,000",4.62,2772
BOTANICALS DAY SPA,9 WATERVILLE RD,4500009,4500009,95,,SIMS,,,,,6000,,,7000,,,12000,,,62000,"87,000",1.14,684
,21 WATERVILLE RD,4500021,4500021,96,,SIMS,,,,,0,,,0,,,0,,,100000,"100,000",1.3,780
SWEETLAND REALTY LLC,22 Waterville Rd - Pri,4500022,4500022,97,,SIMS,,,,,0,,,0,,,0,,,136000,"136,000",1.77,1062
TWENTY NINE WATERVILLE LLC,29 WATERVILLE RD,4500029,4500029,98,,SIMS,,,,,14000,,,61000,,,23000,,,9000,"107,000",1.4,840
CONNECTICUT EYE CENTER,35 WATERVILLE RD,4500035,4500035,99,,SIMS,,,,,17000,,,11000,,,8000,,,15000,"51,000",0.67,402
PATH LLC,40 WATERVILLE RD,4500040,4500040,100,,SIMS,,,,,15000,,,90000,,,45000,,,3000,"153,000",2,1200
CAPITOL REG. EDUC. COUNCIL,59 WATERVILLE RD,4500059,4500059,101,,SIMS,,,,,187000,,,102000,,,145000,,,137000,"571,000",7.45,4470
PETCO ANIMAL SUPPLY #1813,9 WEST AVON RD,4520015,,,,SIMS,,,,,58000,,,48000,,,50000,,,53000,"209,000",2.73,1638
PUERTO VALLARTA GROUP LLC,15 West Avon Rd - Prim,4520015,4520015,102,,SIMS,,,,,0,,,0,,,0,,,1028000,"1,028,000",13.41,8046
"DR. TIMOTHY OWENS, LLC",12 WEST AVON RD,4520012,4520012,103,,SIMS,,,,,3000,,,3000,,,2000,,,76650,"76,650",1,600
MY EYE OPTOMETRY,18 WEST AVON RD,4520018,4520018,104,,SIMS,,,,,67000,,,15000,,,11000,,,23000,"116,000",1.51,906
TWENTY W AVON RD ASSOC,20 WEST AVON RD,4520020,4520020,105,,SIMS,,,,,52000,,,49000,,,118000,,,44000,"263,000",3.43,2058
DR. NICHOLAS LABBADIA,46 WEST AVON RD,4520046,4520046,106,,SIMS,,,,,17000,,,20000,,,18000,,,18000,"73,000",0.95,570
"0Prime Healthcare, P.C.",54 WEST AVON RD,4520054,,,,SIMS,,,,,1000,,,2000,,,2000,,,2000,"7,000",0.09,54
54 West Avon Rd 101 Mt,54 WEST AVON RD,4520054,,,,SIMS,,,,,118000,,,114000,,,101000,,,193000,"526,000",6.86,4116
54 West Avon Rd 101 Mt,54 WEST AVON RD,4520054,,,,SIMS,,,,,124000,,,119000,,,105000,,,202000,"550,000",7.18,4308
54 West Avon Rd 103,54 WEST AVON RD,4520054,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
54 West Avon Rd 104,54 WEST AVON RD,4520054,,,,SIMS,,,,,6000,,,6000,,,7000,,,5000,"24,000",0.31,186
DIALYSIS CLIMIC,54 WEST AVON RD,4520054,4520054,107,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
"0Your Corner Store, LLC",395 WEST AVON RD,4520395,,,,SIMS,,,,,2000,,,3000,,,2000,,,9000,"16,000",0.21,126
0Brighenti Enterprises,395 WEST AVON RD,4520395,,,,SIMS,,,,,2000,,,2000,,,1000,,,1000,"6,000",0.08,48
0Luke's Donut Shop,395 WEST AVON RD,4520395,,,,SIMS,,,,,7000,,,9000,,,8000,,,8000,"32,000",0.42,252
0Brighenti Enterprises,395 WEST AVON RD,4520395,,,,SIMS,,,,,0,,,1000,,,0,,,0,"1,000",0.01,6
0Brighenti Enterprises,395 WEST AVON RD,4520395,,,,SIMS,,,,,10000,,,8000,,,27000,,,16000,"61,000",0.8,480
0Brighenti Enterprises,395 WEST AVON RD,4520395,4520395,108,,SIMS,,,,,0,,,1000,,,0,,,0,"1,000",0.01,6
0Icon Salon,427 WEST AVON RD,4520427,,,,SIMS,,,,,24000,,,24000,,,26000,,,21000,"95,000",1.24,744
0Lovely Nails &Spa LLC,427 WEST AVON RD,4520427,,,,SIMS,,,,,12000,,,18000,,,15000,,,10000,"55,000",0.72,432
0Cheers2u,427 WEST AVON RD,4520427,,,,SIMS,,,,,1000,,,1000,,,0,,,1000,"3,000",0.04,24
0American Eagle Financial Credi,427 WEST AVON RD,4520427,,,,SIMS,,,,,3000,,,3000,,,3000,,,3000,"12,000",0.16,96
0West Avon LLC,427 WEST AVON RD,4520427,,,N,SIMS,,,,,172000,,,250000,,,15000,,,0,"437,000",5.7,3420
0Pizzeria Davinci LLC,427 WEST AVON RD,4520427,4520427,109,,SIMS,,,,,15000,,,15000,,,17000,,,16000,"63,000",0.82,492
VALLEY COM. BAPTIST CHURCH,590 WEST AVON RD,4520590,4520590,110,,SIMS,,,,,0,,,0,,,0,,,157000,157000,2.05,1230
AVON CONVALESCENT HOME,652 West Avon Rd - Pri,4520652,4520652,111,,SIMS,,,,,0,,,0,,,0,,,3346000,3346000,43.65,26190
WEST AVON FIRE HOUSE #3,490 WEST AVON RD,4520490,4520490,112,,SIMS,,,,,10000,,,11000,,,10000,,,7000,"38,000",0.5,300
BOARD OF ED.(ATH.FLD.),510 WEST AVON RD,4520510,,,,SIMS,,,,,232000,,,111000,,,164000,,,118000,"625,000",8.15,4890
BOARD OF EDUCATION,510 WEST AVON RD,4520510,,,,SIMS,,,,,36000,,,44000,,,5000,,,0,"85,000",1.11,666
510 West Avon Rd - IRR,510 WEST AVON RD,4520510,4520510,113,N,SIMS,,,,,69000,,,499000,,,245000,,,0,"813,000",10.61,6366
O'NEILL CHEV & BUICK,3 WEST MAIN ST,4540005,,,,SIMS,,,,,2000,,,1000,,,2000,,,2000,"7,000",0.09,54
"O'NEILL'S CHEV&BUICK,INC.",5 WEST MAIN ST,4540005,4540005,114,,SIMS,,,,,48000,,,27000,,,42000,,,34000,"151,000",1.97,1182
,7 WEST MAIN ST,4540006,4540006,115,,SIMS,,,,,,,,,,,,,,76650,"76,650",1,600
THE MASTERS CORP.,11 WEST MAIN ST,4540011,4540011,116,,SIMS,,,,,,,,,,,,,,76650,"76,650",1,600
AVON CONG. CHURCH,12 WEST MAIN ST,4540012,4540012,117,,SIMS,,,,,25000,,,26000,,,25000,,,27000,"103,000",1.34,804
CT WATER,14 WEST MAIN ST,4540014,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
CT WATER,14 WEST MAIN ST,4540014,4540014,118,,SIMS,,,,,0,,,0,,,0,,,76650,"76,650",1,600
17 W MAIN ST ASSOC LLC,16 WEST MAIN ST,4540016,4540016,119,,SIMS,,,,,0,,,0,,,0,,,76650,"76,650",1,600
DOM'S COFFEE LLC,17 WEST MAIN ST,4540017,4540017,120,,SIMS,,,,,,,,,,,,,,76650,"76,650",1,600
DOM'S COFFEE LLC,20 WEST MAIN ST,4540020,4540020,121,,SIMS,,,,,29000,,,42000,,,22000,,,170000,"263,000",3.43,2058
THE COFFEE TRADE INC.,21 WEST MAIN ST,4540021,4540021,122,,SIMS,,,,,16000,,,17000,,,13000,,,12000,"58,000",0.76,456
"FIRST & LAST TAVERN, AVON",24 WEST MAIN ST,4540026,,,,SIMS,,,,,0,,,0,,,0,,,1255000,1255000,16.37,9822
"FIRST & LAST TAVERN, AVON",25 WEST MAIN ST,4540026,4540026,123,,SIMS,,,,,0,,,0,,,0,,,177000,177000,2.31,1386
LORENZO DICLEMENTE #3,29 West Main St Bld 1,4540029,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
JOSEPH & IRENE GENTILE #2,29 West Main St Bld 2,4540029,,,,SIMS,,,,,47000,,,42000,,,35000,,,50000,"174,000",2.27,1362
LORENZO DICLEMENTE #1,29 West Main St Bld. 3,4540029,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
LORENZO DICLEMENTE #4,29 West Main St Bldg 1,4540029,4540029,124,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
LORENZO DICLEMENTE,37 WEST MAIN ST,4540037,4540037,125,,SIMS,,,,,21000,,,21000,,,19000,,,17000,"78,000",1.02,612
0Avon Central LLC,43 West Main St - Prim,4540043,4540043,126,,SIMS,,,,,30000,,,142000,,,66000,,,58000,"296,000",3.86,2316
AVON ALLIES,45 WEST MAIN ST,4540045,4540045,127,,SIMS,,,,,34000,,,42000,,,34000,,,32000,"142,000",1.85,1110
"DREW & MERSEREAU, PC",47 WEST MAIN ST,4540047,4540047,128,,SIMS,,,,,21000,,,8000,,,5000,,,5000,"39,000",0.51,306
"ACOP, LLC #49",49 WEST MAIN ST,4540049,4540049,129,,SIMS,,,,,18000,,,13000,,,12000,,,18000,"61,000",0.8,480
AVON TOWN CENTER LLC,16 ENSIGN DR,2210016,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
AVON TOWN CENTER LLC,32 WEST MAIN ST,2210016,,,,SIMS,,,,,0,,,2000,,,2000,,,1000,"5,000",0.07,42
AVON TOWN CENTER LLC,38 West Main St  - Ded,2210016,,,,SIMS,,,,,10000,,,58000,,,17000,,,0,"85,000",1.11,666
AVON TOWN CENTER LLC,38 West Main St  - Pri,2210016,,,,SIMS,,,,,26000,,,80000,,,25000,,,7000,"138,000",1.8,1080
AVON TOWN CENTER LLC,44 WEST MAIN ST,2210016,2210016,130,,SIMS,,,,,1000,,,14000,,,27000,,,27000,"69,000",0.9,540
0Town of Avon,60 West Main St  Bldg,4540060,,,,SIMS,,,,,0,,,50000,,,14000,,,0,"64,000",0.83,498
0Public Works (green),60 West Main St,4540060,,,N,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
0Town Of Avon,60 West Main St - Poli,4540060,,,,SIMS,,,,,36000,,,17000,,,15000,,,17000,"85,000",1.11,666
0Town Of Avon (Bld 5),60 West Main St Bldg 5,4540060,,,,SIMS,,,,,3000,,,3000,,,4000,,,3000,"13,000",0.17,102
0Town Of Avon,60 West Main St Bldg 6,4540060,,,,SIMS,,,,,6000,,,7000,,,5000,,,5000,"23,000",0.3,180
0Town Of Avon,60 West Main St Bldg 8,4540060,,,,SIMS,,,,,31000,,,23000,,,20000,,,16000,"90,000",1.17,702
0Town of Avon,60 West Main St Bldg1,4540060,4540060,131,,SIMS,,,,,9000,,,57000,,,21000,,,5000,"92,000",1.2,720
MARLENE JUNG ASSOC,112 WEST MAIN ST,4540112,4540112,132,,SIMS,,,,,7000,,,5000,,,9000,,,7000,"28,000",0.37,222
F & L ASSOCIATES,166 WEST MAIN ST,4540166,4540166,133,,SIMS,,,,,3000,,,3000,,,3000,,,5000,"14,000",0.18,108
"172 WEST MAIN,  LLC",172 W Main St Prud Bld,4540172,4540172,134,,SIMS,,,,,,,,,,,,,,76650,"76,650",1,600
STEPHAN BROTHERS REALTY,177 WEST MAIN ST,4540177,4540177,135,,SIMS,,,,,3000,,,3000,,,5000,,,3000,"14,000",0.18,108
YONG,183 WEST MAIN ST,4540183,4540183,136,,SIMS,,,,,0,,,0,,,0,,,76650,"76,650",1,600
LEIBERT FAMILY LTD. PART.,192 WEST MAIN ST,4540192,,,,SIMS,,,,,32000,,,40000,,,17000,,,18000,"107,000",1.4,840
ROSIE'S LAUNDRY,192 WEST MAIN ST,4540192,4540192,137,,SIMS,,,,,343000,,,347000,,,331000,,,276000,"1,297,000",16.92,10152
FOUR SQUARE ASSOCIATES,195 WEST MAIN ST,4540195,4540195,138,,SIMS,,,,,107000,,,75000,,,79000,,,46000,"307,000",4.01,2406
DP1 LLC,200 WEST MAIN ST,4540200,,,,SIMS,,,,,17000,,,124000,,,34000,,,3000,"178,000",2.32,1392
"E & D PIZZA CO, LLC",200 West Main St Unit B,4540200,4540200,139,,SIMS,,,,,28000,,,31000,,,30000,,,28000,"117,000",1.53,918
0BNF Contractors Inc,205 WEST MAIN ST,4540205,4540205,140,,SIMS,,,,,157000,,,238000,,,3000,,,4000,"402,000",5.24,3144
DAVID KELLY LLC,209 WEST MAIN ST,4540209,4540209,141,,SIMS,,,,,24000,,,23000,,,20000,,,14000,"81,000",1.06,636
DPI LLC,210 WEST MAIN ST,4540210,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
DEEPWATER LOBSTER,210 WEST MAIN ST,4540210,,,,SIMS,,,,,91000,,,105000,,,81000,,,77000,"354,000",4.62,2772
0Rivers Edge Mediterranean Cuis,210 WEST MAIN ST,4540210,4540210,142,,SIMS,,,,,67000,,,62000,,,52000,,,47000,"228,000",2.97,1782
"K BROTHERS, LLC",213 WEST MAIN ST,4540213,4540213,143,,SIMS,,,,,3000,,,5000,,,14000,,,2000,"24,000",0.31,186
ROY ROUNSEVILLE,214 WEST MAIN ST,4540214,4540214,144,,SIMS,,,,,6000,,,9000,,,5000,,,6000,"26,000",0.34,204
LAWRENCE BRUNOLI,220 WEST MAIN ST,4540220,4540220,145,,SIMS,,,,,24000,,,44000,,,18000,,,15000,"101,000",1.32,792
FRED & BONNIE LLC,221 WEST MAIN ST,4540221,4540221,146,,SIMS,,,,,0,,,0,,,0,,,76650,"76,650",1,600
ENTERPRISE RENT-A-CAR,224 WEST MAIN ST,4540224,4540224,147,,SIMS,,,,,5000,,,9000,,,10000,,,9000,"33,000",0.43,258
GREEN MOUNTAIN LLC,225 WEST MAIN ST,4540225,4540225,148,,SIMS,,,,,0,,,0,,,0,,,76650,"76,650",1,600
"KEYBANK, NA",232 WEST MAIN ST,4540232,4540232,149,,SIMS,,,,,2000,,,2000,,,2000,,,1000,"7,000",0.09,54
BANK OF AMERICA,240 WEST MAIN ST,4540240,4540240,150,,SIMS,,,,,4000,,,5000,,,5000,,,7000,"21,000",0.27,162
TOWN FAIR TIRE CTRS OF CT,248 WEST MAIN ST,4540248,4540248,151,,SIMS,,,,,7000,,,10000,,,6000,,,7000,"30,000",0.39,234
0255 West Main LLC,255 West Main St - IRR,4540255,,,N,SIMS,,,,,39000,,,285000,,,46000,,,0,"370,000",4.83,2898
0255 West Main LLC,255 West Main St-Prima,4540255,,,,SIMS,,,,,107000,,,83000,,,96000,,,99000,"385,000",5.02,3012
0TD Bank,255 WEST MAIN ST,4540255,,,,SIMS,,,,,2000,,,2000,,,1000,,,2000,"7,000",0.09,54
FIVE GUYS OPERATIONS LLC #74,255 West Main St - Ded,4540255,,,,SIMS,,,,,40000,,,70000,,,53000,,,47000,"210,000",2.74,1644
0Walmart #01-2899,255 West Main St,4540255,,,,SIMS,,,,,152000,,,128000,,,104000,,,92000,"476,000",6.21,3726
"BIG Y GROCERY, SITE #53",255 West Main St - Pri,4540255,,,,SIMS,,,,,0,,,0,,,0,,,876000,"876,000",11.43,6858
"0GTGCT Avon, LLC",255 West Main St - Ded,4540255,,,,SIMS,,,,,7000,,,7000,,,8000,,,6000,"28,000",0.37,222
0Green Bamboo,255 West Main St - Ded,4540255,,,,SIMS,,,,,0,,,0,,,34000,,,46000,"80,000",1.04,624
0Shu Express,255 West Main St - Ded,4540255,4540255,152,,SIMS,,,,,59000,,,4000,,,0,,,0,"63,000",0.82,492
"SUNSET OF AVON, LLC",260 WEST MAIN ST,4540260,4540260,153,,SIMS,,,,,84000,,,35000,,,36000,,,20000,"175,000",2.28,1368
RUSSELL SPEEDERS CAR WASH,265 West Main St - Pri,4540265,4540265,154,,SIMS,,,,,0,,,0,,,0,,,8201000,"8,201,000",106.99,64194
ROTUNDO ,279 WEST MAIN ST,4540279,4540279,155,,SIMS,,,,,0,,,0,,,0,,,76650,"76,650",1,600
LORENZO DICLEMENTE,282 WEST MAIN ST,4540282,4540282,156,,SIMS,,,,,0,,,0,,,0,,,76650,"76,650",1,600
290 CLIPPER CENTER LLC,290 WEST MAIN ST,4540290,4540290,157,,SIMS,,,,,50000,,,110000,,,103000,,,36000,"299,000",3.9,2340
DP3 LLC,300 West Main St,4540300,,,,SIMS,,,,,96000,,,103000,,,77000,,,68000,"344,000",4.49,2694
,300 West Main St -  IR,4540300,4540300,158,N,SIMS,,,,,0,,,50000,,,45000,,,0,"95,000",1.24,744
FISH ENTERPRISES,302 WEST MAIN ST,4540302,4540302,159,,SIMS,,,,,39000,,,98000,,,43000,,,31000,"211,000",2.75,1650
AVON RETAIL,304 WEST MAIN ST ,4540304,4540304,160,,SIMS,,,,,0,,,0,,,0,,,76650,"76,650",1,600
FARMINGTON SAVINGS BANK,310 WEST MAIN ST,4540310,4540310,161,,SIMS,,,,,7000,,,87000,,,21000,,,4000,"119,000",1.55,930
LANE BRYANT LLC,315 WEST MAIN ST,4540315,,,,SIMS,,,,,0,,,0,,,1000,,,1000,"2,000",0.03,18
"NOD BROOK, LLC (BAKERDOZ)",315 WEST MAIN ST,4540315,,,,SIMS,,,,,0,,,1000,,,1000,,,1000,"3,000",0.04,24
GREAT CLIPS,315 WEST MAIN ST,4540315,,,,SIMS,,,,,14000,,,15000,,,14000,,,14000,"57,000",0.74,444
"NOD BROOK, LLC (TOP NAIL)",315 WEST MAIN ST,4540315,,,,SIMS,,,,,11000,,,18000,,,14000,,,8000,"51,000",0.67,402
"LANE BRYANT #4811, LLC",315 WEST MAIN ST,4540315,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
"443400 TJX CO, MS#1",315 WEST MAIN ST,4540315,,,,SIMS,,,,,34000,,,171000,,,31000,,,45000,"281,000",3.67,2202
"443400 TJX CO, MS#1",315 WEST MAIN ST,4540315,,,,SIMS,,,,,67000,,,29000,,,17000,,,14000,"127,000",1.66,996
NOD BROOK LLC (PUL),315 WEST MAIN ST,4540315,,,,SIMS,,,,,7000,,,14000,,,10000,,,15000,"46,000",0.6,360
NOD BROOK LLC (MUSIC),315 WEST MAIN ST,4540315,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
MICHAEL'S MS #2,315 WEST MAIN ST,4540315,,,,SIMS,,,,,11000,,,9000,,,8000,,,7000,"35,000",0.46,276
COLONY GRILL,315 WEST MAIN ST,4540315,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
NOD BROOK LLC,315 WEST MAIN ST,4540315,,,,SIMS,,,,,2000,,,2000,,,2000,,,1000,"7,000",0.09,54
NOD BROOK LLC,316 WEST MAIN ST,4540315,,,,SIMS,,,,,6000,,,7000,,,8000,,,8000,"29,000",0.38,228
THE FRESH MARKET #127,321 WEST MAIN ST,4540315,4540315,162,,SIMS,,,,,165000,,,159000,,,157000,,,155000,"636,000",8.3,4980
LEXHAM AVON LLC,320 WEST MAIN ST,4540320,4540320,163,,SIMS,,,,,139000,,,209000,,,120000,,,86000,"554,000",7.23,4338
F. FEIBEL,328 WEST MAIN ST,4540328,4540328,164,,SIMS,,,,,0,,,0,,,0,,,76650,"76,650",1,600
"NAVE, LLC",332 WEST MAIN ST,4540332,4540332,165,,SIMS,,,,,4000,,,6000,,,3000,,,4000,"17,000",0.22,132
"G & L AVON, LLC",336 WEST MAIN ST,4540336,4540336,166,,SIMS,,,,,341000,,,453000,,,359000,,,206000,"1,359,000",17.73,10638
LEXHAM AVON LLC,339 WEST MAIN ST,4540339,4540339,167,,SIMS,,,,,30000,,,284000,,,43000,,,18000,"375,000",4.89,2934
FRIENDLY REST#4239,347 WEST MAIN ST,4540347,4540347,168,,SIMS,,,,,128000,,,126000,,,117000,,,87000,"458,000",5.98,3588
GOLD-BORG ASSOCIATES,353 WEST MAIN ST,4540353,4540353,169,,SIMS,,,,,7000,,,7000,,,10000,,,5000,"29,000",0.38,228
CVS #1180,358 WEST MAIN ST,4540358,,,N,SIMS,,,,,11000,,,12000,,,10000,,,11000,"44,000",0.57,342
CVS #1180-02,358 WEST MAIN ST,4540358,4540358,170,,SIMS,,,,,0,,,0,,,0,,,76650,"76,650",1,600
BATTISTON'S CLEANERS,369 West Main St - Pri,4540369,4540369,171,,SIMS,,,,,0,,,0,,,0,,,1359000,"1,359,000",17.73,10638
BERTUCCI'S,380 WEST MAIN ST,4540380,,,,SIMS,,,,,145000,,,150000,,,149000,,,142000,"586,000",7.65,4590
"VERIZON WIRELESS, SITE# 90377",380 WEST MAIN ST,4540380,,,,SIMS,,,,,2000,,,3000,,,3000,,,2000,"10,000",0.13,78
"STARBUCKS, SITE #075",380 WEST MAIN ST,4540380,,,,SIMS,,,,,79000,,,84000,,,74000,,,61000,"298,000",3.89,2334
AVON MARKETPLACE,380 WEST MAIN ST,4540380,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
CASS INFORMATION SYSTEMS,380 WEST MAIN ST,4540380,,,,SIMS,,,,,19000,,,18000,,,18000,,,16000,"71,000",0.93,558
AVON MARKETPLACE,380 WEST MAIN ST,4540380,,,,SIMS,,,,,84000,,,85000,,,93000,,,87000,"349,000",4.55,2730
AVON MARKETPLACE (NBAL),380 WEST MAIN ST,4540380,,,,SIMS,,,,,3000,,,3000,,,3000,,,3000,"12,000",0.16,96
0Avon Marketplace,380 West Main St - Irr,4540380,4540380,172,,SIMS,,,,,0,,,0,,,1000,,,0,"1,000",0.01,6
SHOPS AT DALE CORNER,385 WEST MAIN ST,4540385,,,,SIMS,,,,,47000,,,349000,,,125000,,,0,"521,000",6.8,4080
HARTFORD HEALTH CARE,386 WEST MAIN ST,4540385,,,,SIMS,,,,,7000,,,9000,,,7000,,,8000,"31,000",0.4,240
HARTFORD HEALTH CARE,387 WEST MAIN ST,4540385,,,,SIMS,,,,,8000,,,10000,,,4000,,,0,"22,000",0.29,174
HARTFORD HEALTH CARE,388 WEST MAIN ST,4540385,,,,SIMS,,,,,0,,,0,,,0,,,0,0,0,0
SAVIN BRANDS,387 WEST MAIN ST,4540385,,,,SIMS,,,,,42000,,,44000,,,34000,,,38000,"158,000",2.06,1236
SPORT CLIPS,385 WEST MAIN ST,4540385,,,,SIMS,,,,,12000,,,12000,,,10000,,,8000,"42,000",0.55,330
LIKI SUSHI,385 WEST MAIN ST,4540385,,,,SIMS,,,,,111000,,,108000,,,65000,,,62000,"346,000",4.51,2706
SHOPS AT DALE CORNER,385 WEST MAIN ST,4540385,4540385,173,,SIMS,,,,,0,,,0,,,0,,,2000,"2,000",0.03,18
NOVA CENTER CO.,395 WEST MAIN ST,4540395,4540395,174,,SIMS,,,,,62000,,,62000,,,63000,,,60000,"247,000",3.22,1932
VRAKAS LLC,401 WEST MAIN ST,4540401,4540401,175,,SIMS,,,,,405000,,,429000,,,318000,,,244000,"1,396,000",18.21,10926
SMART FOODS,411 WEST MAIN ST,4540411,4540411,176,,SIMS,,,,,7000,,,21000,,,36000,,,28000,"92,000",1.2,720
