"PROP   ","CARD#","1LTYPE","1CODE","1ACRES                           ","1SQFT                         ","1RATE                         ","1INFL","1PERC                           ","1VALUE                        ","2LTYPE","2CODE","2ACRES                           ","2SQFT                         ","2RATE                         ","2INFL","2PERC                           ","2VALUE                        ","3LTYPE","3CODE","3ACRES                           ","3SQFT                         ","3RATE                         ","3INFL","3PERC                           ","3VALUE                        ","4LTYPE","4CODE","4ACRES                           ","4SQFT                         ","4RATE                         ","4INFL","4PERC                           ","4VALUE                        ","TSEQ                          ","DLC        " 
"1920104","01","PRIM","11",                             .920,                              ,                        175000,"  ",                                ,                        175000,"RES ","12",                             .050,                              ,                          7500,"  ",                                ,                           375,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940015","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                             .230,                              ,                          7500,"  ",                                ,                          1725,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940019","01","PRIM","11",                             .740,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940035","01","CPRI","31",                           28.130,                              ,                        100000,"  ",                                ,                       2813000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18209,"28-Aug-2023" 
"1940036","01","CPRI","31",                            8.000,                              ,                        100000,"  ",                                ,                        800000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18210,"28-Aug-2023" 
"1940040","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                             .230,                              ,                          7500,"  ",                                ,                          1725,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940044","01","PRIM","11",                             .910,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940051","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                             .020,                              ,                          7500,"  ",                                ,                           150,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         21977,"28-Apr-1999" 
"1940052","01","PRIM","11",                             .820,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940060","01","PRIM","11",                             .850,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940061","01","PRIM","11",                             .670,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940066","01","PRIM","11",                             .900,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940071","01","PRIM","11",                             .740,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940076","01","PRIM","11",                             .900,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940081","01","PRIM","11",                             .840,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940087","01","PRIM","11",                             .910,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940088","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                             .060,                              ,                          7500,"  ",                                ,                           450,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940095","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940096","01","PRIM","11",                             .927,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         12880,"12-Aug-2013" 
"1940098","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                            1.450,                              ,                          7500,"  ",                                ,                         10875,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         12881,"12-Aug-2013" 
"1940100","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                            1.268,                              ,                          7500,"  ",                             .50,                          4755,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         12882,"12-Aug-2013" 
"1940102","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                             .125,                              ,                          7500,"  ",                                ,                           938,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         12883,"12-Aug-2013" 
"1940103","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                             .010,                              ,                          7500,"  ",                                ,                            75,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940109","01","PRIM","11",                             .880,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940112","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                             .110,                              ,                          7500,"  ",                                ,                           825,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940114","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                            1.180,                              ,                          7500,"  ",                                ,                          8850,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940119","01","PRIM","11",                             .890,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940122","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                             .580,                              ,                          7500,"  ",                                ,                          4350,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940125","01","PRIM","11",                             .890,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940131","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940137","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                             .030,                              ,                          7500,"  ",                                ,                           225,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940139","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                             .030,                              ,                          7500,"  ",                                ,                           225,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940142","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                             .420,                              ,                          7500,"  ",                                ,                          3150,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940145","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                             .360,                              ,                          7500,"  ",                                ,                          2700,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940150","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                             .410,                              ,                          7500,"  ",                                ,                          3075,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         25807,"29-Sep-1999" 
"1940151","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                            1.100,                              ,                          7500,"  ",                                ,                          8250,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940159","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                            1.260,                              ,                          7500,"  ",                                ,                          9450,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940160","01","CPRI","21",                            4.500,                              ,                        200000,"  ",                             .50,                        450000,"RES ","52",                          111.510,                              ,                          7500,"  ",                                ,                        836325,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         17800,"15-Aug-2023" 
"1940165","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                             .080,                              ,                          7500,"  ",                                ,                           600,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                          2825,"09-Oct-1992" 
"1940199","01","CPRI","31",                            1.000,                              ,                         80000,"  ",                                ,                         80000,"RES ","52",                          114.210,                              ,                          7500,"  ",                                ,                        856575,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         17799,"15-Aug-2023" 
"1940215","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                             .220,                              ,                          7500,"  ",                                ,                          1650,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940247","01","PRIM","11",                             .650,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         13876,"10-Apr-2014" 
"1940270","01","CPRI","21",                            2.007,                              ,                         80000,"  ",                                ,                        160560,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         17798,"15-Aug-2023" 
"1940280","01","CPRI","21",                            5.666,                        246800,                         80000,"  ",                                ,                        453280,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         18213,"28-Aug-2023" 
"1940281","01","CPRI","21",                            3.000,                              ,                        150000,"  ",                                ,                        450000,"RES ","52",                             .800,                              ,                          7500,"  ",                                ,                          6000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         17794,"15-Aug-2023" 
"1940291","01","PRIM","11",                             .770,                              ,                        135000,"  ",                             .10,                        121500,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         15275,"09-Aug-2018" 
"1940296","01","CPRI","21",                            1.460,                              ,                        150000,"  ",                                ,                        219000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         17793,"15-Aug-2023" 
"1940300","01","CPRI","21",                             .757,                         33000,                        150000,"  ",                                ,                        113550,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         17792,"15-Aug-2023" 
"1940301","01","CPRI","21",                            3.000,                        130700,                        150000,"  ",                                ,                        450000,"RES ","52",                             .463,                              ,                          7500,"  ",                                ,                          3473,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         17790,"15-Aug-2023" 
"1940323","01","PRIM","11",                            1.840,                         80200,                        135000,"  ",                                ,                        135000,"RES ","12",                            2.752,                        119900,                          7500,"  ",                             .75,                          5160,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         15967,"09-Jul-2019" 
"1940326","01","PRIM","11",                             .630,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940332","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                             .220,                              ,                          7500,"  ",                                ,                          1650,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940339","01","PRIM","11",                             .920,                              ,                        135000,"  ",                             .25,                        101250,"RES ","12",                             .790,                              ,                          7500,"  ",                                ,                          5925,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         15835,"02-Jan-2019" 
"1940340","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                            1.580,                              ,                          7500,"  ",                                ,                         11850,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940345","01","PRIM","11",                             .760,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940348","01","RES ","12",                            2.800,                              ,                          7500,"  ",                             .25,                         15750,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         17780,"15-Aug-2023" 
"1940351","01","PRIM","11",                             .840,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940355","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                            3.320,                              ,                          7500,"  ",                                ,                         24900,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1940356","01","PRIM","11",                             .920,                              ,                        135000,"  ",                                ,                        135000,"RES ","12",                             .170,                              ,                          7500,"  ",                                ,                          1275,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
